configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.8,1920000000.0,360987405.875,361951581.62445295,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.85,1920000000.0,361417674.0000001,362424934.5011776,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.9,1920000000.0,360601829.5000002,361553450.4988318,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.9500000000000002,1920000000.0,360748968.6249998,361755443.0002201,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,2.0,1920000000.0,361329415.87500066,362340246.5000254,ns
400x400x1-precd-thread1-M1e+07,d,2,400,62.5,0.001,1.25,1600000000.0,411948927.74999994,413138429.124956,ns
400x400x1-precd-thread1-M1e+07,d,2,400,62.5,0.001,1.3,1600000000.0,411720359.37500006,412780649.2488162,ns
400x400x1-precd-thread1-M1e+07,d,2,400,62.5,0.001,1.35,1600000000.0,411994512.62499976,413029224.9992635,ns
400x400x1-precd-thread1-M1e+07,d,2,400,62.5,0.001,1.4,1600000000.0,411457392.87500006,412450435.87514377,ns
400x400x1-precd-thread1-M1e+07,d,2,400,62.5,0.001,1.45,1600000000.0,411851783.12499994,412888654.62593096,ns
